2015-07-10 20:04:20 status unpacked libc6:armhf 2.19-18
2015-07-10 20:04:20 status half-installed libc6:armhf 2.19-18
2015-07-10 20:04:24 status half-installed libc6:armhf 2.19-18
2015-07-10 20:04:24 status unpacked libc6:armhf 2.19-18
2015-07-10 20:04:24 status unpacked libc6:armhf 2.19-18
2015-07-10 20:04:24 install multiarch-support:armhf <none> 2.19-18
2015-07-10 20:04:24 status half-installed multiarch-support:armhf 2.19-18
2015-07-10 20:04:24 status unpacked multiarch-support:armhf 2.19-18
2015-07-10 20:04:24 status unpacked multiarch-support:armhf 2.19-18
2015-07-10 20:04:24 install grep:armhf <none> 2.20-4.1
2015-07-10 20:04:24 status half-installed grep:armhf 2.20-4.1
2015-07-10 20:04:24 status unpacked grep:armhf 2.20-4.1
2015-07-10 20:04:24 status unpacked grep:armhf 2.20-4.1
2015-07-10 20:04:25 install gzip:armhf <none> 1.6-4
2015-07-10 20:04:25 status half-installed gzip:armhf 1.6-4
2015-07-10 20:04:25 status unpacked gzip:armhf 1.6-4
2015-07-10 20:04:25 status unpacked gzip:armhf 1.6-4
2015-07-10 20:04:25 install hostname:armhf <none> 3.15
2015-07-10 20:04:25 status half-installed hostname:armhf 3.15
2015-07-10 20:04:25 status unpacked hostname:armhf 3.15
2015-07-10 20:04:25 status unpacked hostname:armhf 3.15
2015-07-10 20:04:25 install init:armhf <none> 1.22
2015-07-10 20:04:25 status half-installed init:armhf 1.22
2015-07-10 20:04:25 status unpacked init:armhf 1.22
2015-07-10 20:04:25 status unpacked init:armhf 1.22
2015-07-10 20:04:25 install insserv:armhf <none> 1.14.0-5
2015-07-10 20:04:25 status half-installed insserv:armhf 1.14.0-5
2015-07-10 20:04:25 status unpacked insserv:armhf 1.14.0-5
2015-07-10 20:04:25 status unpacked insserv:armhf 1.14.0-5
2015-07-10 20:04:25 install libkmod2:armhf <none> 18-3
2015-07-10 20:04:25 status half-installed libkmod2:armhf 18-3
2015-07-10 20:04:25 status unpacked libkmod2:armhf 18-3
2015-07-10 20:04:25 status unpacked libkmod2:armhf 18-3
2015-07-10 20:04:26 install libcap2:armhf <none> 1:2.24-8
2015-07-10 20:04:26 status half-installed libcap2:armhf 1:2.24-8
2015-07-10 20:04:26 status unpacked libcap2:armhf 1:2.24-8
2015-07-10 20:04:26 status unpacked libcap2:armhf 1:2.24-8
2015-07-10 20:04:26 install libcap2-bin:armhf <none> 1:2.24-8
2015-07-10 20:04:26 status half-installed libcap2-bin:armhf 1:2.24-8
2015-07-10 20:04:26 status unpacked libcap2-bin:armhf 1:2.24-8
2015-07-10 20:04:26 status unpacked libcap2-bin:armhf 1:2.24-8
2015-07-10 20:04:26 install libgcrypt20:armhf <none> 1.6.3-2
2015-07-10 20:04:26 status half-installed libgcrypt20:armhf 1.6.3-2
2015-07-10 20:04:26 status unpacked libgcrypt20:armhf 1.6.3-2
2015-07-10 20:04:26 status unpacked libgcrypt20:armhf 1.6.3-2
2015-07-10 20:04:26 install libgpg-error0:armhf <none> 1.17-3
2015-07-10 20:04:26 status half-installed libgpg-error0:armhf 1.17-3
2015-07-10 20:04:27 status unpacked libgpg-error0:armhf 1.17-3
2015-07-10 20:04:27 status unpacked libgpg-error0:armhf 1.17-3
2015-07-10 20:04:27 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2015-07-10 20:04:27 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2015-07-10 20:04:27 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2015-07-10 20:04:27 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2015-07-10 20:04:27 install libselinux1:armhf <none> 2.3-2
2015-07-10 20:04:27 status half-installed libselinux1:armhf 2.3-2
2015-07-10 20:04:27 status unpacked libselinux1:armhf 2.3-2
2015-07-10 20:04:27 status unpacked libselinux1:armhf 2.3-2
2015-07-10 20:04:27 install libsemanage-common:all <none> 2.3-1
2015-07-10 20:04:27 status half-installed libsemanage-common:all 2.3-1
2015-07-10 20:04:27 status unpacked libsemanage-common:all 2.3-1
2015-07-10 20:04:27 status unpacked libsemanage-common:all 2.3-1
2015-07-10 20:04:27 install libsemanage1:armhf <none> 2.3-1+b1
2015-07-10 20:04:27 status half-installed libsemanage1:armhf 2.3-1+b1
2015-07-10 20:04:27 status unpacked libsemanage1:armhf 2.3-1+b1
2015-07-10 20:04:27 status unpacked libsemanage1:armhf 2.3-1+b1
2015-07-10 20:04:27 install libsepol1:armhf <none> 2.3-2
2015-07-10 20:04:27 status half-installed libsepol1:armhf 2.3-2
2015-07-10 20:04:28 status unpacked libsepol1:armhf 2.3-2
2015-07-10 20:04:28 status unpacked libsepol1:armhf 2.3-2
2015-07-10 20:04:28 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2015-07-10 20:04:28 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2015-07-10 20:04:28 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2015-07-10 20:04:28 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2015-07-10 20:04:28 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2015-07-10 20:04:28 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2015-07-10 20:04:28 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2015-07-10 20:04:28 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2015-07-10 20:04:28 install libtext-wrapi18n-perl:all <none> 0.06-7
2015-07-10 20:04:28 status half-installed libtext-wrapi18n-perl:all 0.06-7
2015-07-10 20:04:28 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-07-10 20:04:28 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-07-10 20:04:28 install lsb-base:all <none> 4.1+Debian13+nmu1
2015-07-10 20:04:28 status half-installed lsb-base:all 4.1+Debian13+nmu1
2015-07-10 20:04:28 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-07-10 20:04:28 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-07-10 20:04:28 install dmsetup:armhf <none> 2:1.02.90-2.2
2015-07-10 20:04:28 status half-installed dmsetup:armhf 2:1.02.90-2.2
2015-07-10 20:04:28 status unpacked dmsetup:armhf 2:1.02.90-2.2
2015-07-10 20:04:28 status unpacked dmsetup:armhf 2:1.02.90-2.2
2015-07-10 20:04:29 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2
2015-07-10 20:04:29 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2
2015-07-10 20:04:29 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2015-07-10 20:04:29 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2015-07-10 20:04:29 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2015-07-10 20:04:29 status half-configured mawk:armhf 1.3.3-17
2015-07-10 20:04:29 status unpacked mawk:armhf 1.3.3-17
2015-07-10 20:04:29 status half-installed mawk:armhf 1.3.3-17
2015-07-10 20:04:29 status half-installed mawk:armhf 1.3.3-17
2015-07-10 20:04:29 status unpacked mawk:armhf 1.3.3-17
2015-07-10 20:04:29 status unpacked mawk:armhf 1.3.3-17
2015-07-10 20:04:29 install libncurses5:armhf <none> 5.9+20140913-1+b1
2015-07-10 20:04:29 status half-installed libncurses5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:29 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:29 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:29 install libncursesw5:armhf <none> 5.9+20140913-1+b1
